branch_id,branch_name
ET0010358,AZENA BRANCH
ET0010135,AZEZO BRANCH
ET0010603,Abado Condominium
ET0010447,Abebech Gobena Branch
ET0010628,Afwork Tekle Branch
ET0010414,Arada Giorgis Branch
ET0010028,Arba Minch Branch
ET0010097,Ayat Branch
ET0010614,B/GN LEGESSE TEFERA BR
ET0010581,BAB AL ARZAQ SUB-BRANC
ET0010506,BAB-SELAM BRANCH
ET0010331,BABILE BRANCH
ET0010766,BABU-RAHEMA BRANCH
ET0010597,BACHUMA BRANCH
ET0010007,BAHIR DAR BRANCH
ET0010413,BAKO BRANCH
ET0010099,BALCHA BRANCH
ET0010459,BALCHI BRANCH
ET0010178,BALDERAS BRANCH
ET0010701,BALDERAS CONDOMIN BR
ET0010183,BALE GOBA BRANCH
ET0010182,BALE ROBE BRANCH
ET0010626,BAMBASI BRANCH
ET0010071,BAMBIS BRANCH
ET0010473,BARAKA BRANCH
ET0010613,BARO MADO BRANCH
ET0010326,BATI BRANCH
ET0010235,BATU BRANCH
ET0010739,BECHO BORE BRANCH
ET0010886,BEDABUNA BRANCH
ET0010247,BEDELE BRANCH
ET0010340,BEDESSA BRANCH
ET0010795,BEGEMDER BRANCH
ET0010768,BEHERE TSIGE BRANCH
ET0010327,BEKOJI BRANCH
ET0010205,BELAY ZELEKE ROAD
ET0010205,BELAY ZELEKE ROAD BR
ET0010556,BELE GESGAR BRANCH
ET0010113,BENSA BRANCH
ET0010961,BERAHLIE BRANCH
ET0010501,BERBERE TERA BRANCH
ET0010751,BERECHA BRANCH
ET0010974,BERWAQO BRANCH
ET0010306,BESHALE ARABSA BRANCH
ET0010164,BESHALE BRANCH
ET0010903,BETHEL ADEBABAY BRANCH
ET0010077,BETHEL BRANCH
ET0010958,BETHEL NUMBER 2 BRANCH
ET0010958,BETHEL NUMBER2 BRANCH
ET0010196,BETHEL SEFERE EYOR BR
ET0010802,BETHEL YEROM SEFER BR
ET0010693,BIBUGN BRANCH
ET0010200,BICHENA BRANCH
ET0010522,BIFTU ADUGNA BRANCH
ET0010456,BILAL BRANCH
ET0010714,BILU EKRA BRANCH
ET0010905,BIRARO BRANCH
ET0010026,BISHOFTU BRANCH
ET0010826,BISHOFTU MENAHARIA
ET0010826,BISHOFTU MENAHARIA BR
ET0010139,BISRATE GEBREAL BRANCH
ET0010488,BISTIMA BRANCH
ET0010929,BITA BRANCH
ET0010489,BIZET BRANCH
ET0010891,BLUE NILE BRANCH
ET0010690,BODITI BRANCH
ET0010883,BOKU SHENEN BRANCH
ET0010645,BOLE ARABSA BRANCH
ET0010834,BOLE ATLAS BRANCH
ET0010263,BOLE BULBULA BRACNH
ET0010451,BOLE CARGO BRANCH
ET0010009,BOLE CORPORATE BRANCH
ET0010858,BOLE DILDIY BRANCH
ET0010051,BOLE MEDHANIALEM BR
ET0010143,BOLE MICHAEL BRANCH
ET0010052,BOMB TERA BRANCH
ET0010445,BONGA BRANCH
ET0010636,BONOSHA BRANCH
ET0010996,BOREN BRANCH
ET0010745,BORU JAWI BRANCH
ET0010461,BOSET BRANCH
ET0010240,BOTE BRANCH
ET0010538,BOTE SUB BRANCH
ET0010879,BOTER TOLAY BRANCH
ET0010656,BUEE BRANCH
ET0010894,BULALE BRANCH
ET0010926,BULBULA CONDOMINIUM BR
ET0010322,BULBULA MARIAM BRANCH
ET0010548,BULBULA MEDHANE ALEM B
ET0010574,BULEGA BRANCH
ET0010046,BULEHORA BRANCH
ET0010781,BULKI-SUB BRANCH
ET0010922,BULUKO BRANCH
