branch_id,branch_name
ET0010862,MILLE BRANCH
ET0010529,MINA BRANCH
ET0010885,MINALESH TERA BRANCH
ET0010827,MINJAR BRANCH
ET0010947,MIRAB ABAYA BRANCH
ET0010241,MISIRAK BRANCH
ET0010592,MISRAK DIL BRANCH
ET0010448,MIZAN TEFERI BRANCH
ET0010047,MODJO BRANCH
ET0010108,MOENCO BRANCH
ET0010691,MOGLE TERARA BRANCH
ET0010332,MOLALE BRANCH
ET0010452,MOLLA MARU BRANCH
ET0010526,MORSITO BRANCH
ET0010033,MOTTA BRANCH
ET0010215,MOYALE BRANCH
ET0010477,MUFTI SHEK UMER IDRIS BRANCH
ET0010477,MUFTISHEIKH OMAR IDRIS
ET0010544,MUMIE BRANCH
ET0010035,Megenagna Branch
ET0010083,Meskel Flower Branch
ET0010487,NEFAS SILK BRANCH
ET0010003,NEGADRAS BRANCH
ET0010213,NEGELE ARSI BRANCH
ET0010295,NEGELE BORENA BRANCH
ET0010965,NEGEWO DEJENE BRANCH
ET0010505,NEGUS SAHLESLASSIE BRA
ET0010216,NEJO BRANCH
ET0010806,NEKEMTE BRANCH
ET0010363,NEWLAND BRANCH
ET0010672,NIGIST ELENI BRANCH
ET0010146,NIGIST SEFER BRANCH
ET0010505,NIGUS SAHLE SILASSI
ET0010141,NIGUS TEKLEHAYMANOT BR
ET0010535,NUR BRANCH
ET0010580,NURA HERA BRANCH
ET0010003,Negadras Branch
ET0010778,ODA BRANCH
ET0010572,ODA BULTUM BRANCH
ET0010231,ODA NEBE BRANCH
ET0010442,OLENCHITY BRANCH
ET0010029,OLYMPIA BRANCH
ET0010029,Olympia Branch
ET0010864,PAWI BRANCH
ET0010754,PIASSA BRANCH
ET0010866,POLICE MERET BRANCH
ET0010584,PROF ASRAT WOLDEYES BR
ET0010799,QUARA BRANCH
ET0010490,QUIHA BRANCH
ET0010016,RAGUEL BRANCH
ET0010497,RAMA BRANCH
ET0010353,RAS ABEBE AREGAY BR
ET0010230,RAS BRANCH
ET0010230,RAS CORPORATE BRANCH
ET0010169,RAS DESTA BRANCH
ET0010198,RAS GAYENT BRANCH
ET0010389,RAS KASSA SEFER BR
ET0010762,RASSA BRANCH
ET0010980,RAYA BRANCH
ET0010471,REBU'I GEBEYA BRANCH
ET0010191,RUFAEL BRANCH
ET0010159,RUWANDA MAZORIA BRANCH
ET0010274,SABIAN BRANCH
ET0010782,SABIAN MADEYA BRANCH
ET0010431,SAGURE BRANCH
ET0010625,SAJA BRANCH
ET0010892,SALO GORA BRANCH
ET0010892,SALOGORA  BRANCH
ET0010832,SANKA BRANCH
ET0010671,SANKURA BRANCH
ET0010503,SANSUSI BRANCH
ET0010726,SAR TERA BRANCH
ET0010059,SARBET BRANCH
ET0010565,SARIS ABO BRANCH
ET0010943,SARIS ADDIS AMBA BR
ET0010134,SARIS ADDIS SEFER BR
ET0010085,SARIS BRANCH
ET0010820,SARIS58 BRANCH
ET0010718,SAWLA BRANCH
ET0010210,SEALITE MIHIRET BRANCH
ET0010975,SEBA KARE BRANCH
ET0010601,SEBARA BABUR BRANCH
ET0010512,SEBATEGNA BRANCH
ET0010100,SEBETA BRANCH
ET0010279,SECHA BRANCH
ET0010352,SEDIE BRANCH
ET0010724,SEGNO GEBEYA BRANCH
ET0010595,SEKA BRANCH
ET0010873,SEKEKELO BRANCH
ET0010323,SEKOTA BRANCH
ET0010620,SELADINGAY BRANCH
ET0010539,SELAM BRANCH
ET0010870,SELASSIE GEBEYA BRANCH
ET0010617,SEMADA BRANCH
ET0010510,SEMAETAT BRANCH
ET0010163,SEMEN MAZEGAJA BRANCH
ET0010464,SEMERA BRANCH
ET0010789,SENBETE BRANCH
ET0010311,SENDAFA BRANCH
ET0010174,SENGA TERA BRANCH
ET0010779,SERA BRANCH
ET0010970,SERAWATE BRANCH
ET0010868,SEYO BRANCH
ET0010780,SHAHURA BRANCH
ET0010149,SHAKISO BRANCH
ET0010208,SHALLA AREA BRANCH
ET0010444,SHAMBU BRANCH
ET0010267,SHASHEMENE ARADA BR
ET0010043,SHASHEMENE BRANCH
ET0010289,SHASHEMENE MOBIL BR
ET0010969,SHEBA BRANCH
ET0010969,SHEBA ITM
ET0010897,SHEBE BRANCH
ET0010667,SHEBEL BRANCH
ET0010528,SHEBLE BRANCH
ET0010647,SHEGER MENAFESH BRANCH
ET0010130,SHEGOLLE BRANCH
ET0010835,SHEH ALI GONDER BR
ET0010717,SHEKO BRANCH
ET0010265,SHEMA TERA BRANCH
ET0010252,SHENDI BRANCH
ET0010524,SHENEN BERETU BRANCH
ET0010749,SHENKOR BRANCH
ET0010434,SHENO BRANCH
ET0010404,SHERARO BRANCH
ET0010853,SHERKOLE BRANCH
ET0010334,SHEWA BER BRANCH
ET0010152,SHEWA ROBIT
ET0010336,SHEWAREGED GEDLE BR
ET0010817,SHEY BENCH BRANCH
ET0010871,SHIMBIT BRANCH
ET0010534,SHINSHICHO BRANCH
ET0010082,SHIRE BRANCH N ATM 01
ET0010082,SHIRIE BRANCH
ET0010193,SHIRO MEDA BRANCH
ET0010286,SHOLA GEBEYA BRANCH
ET0010716,SHOLLA GABISA BRANCH
ET0010217,SIDAMO TERA BRANCH
ET0010338,SIDAMO TERA NO 2 BR
ET0010054,SIDIST KILO BRANCH
ET0010719,SIGMO AREFA BRANCH
ET0010106,SIGNAL BRANCH
ET0010630,SILTANA BRANCH
ET0010428,SINKE BRANCH
ET0010962,SIRINKA BRANCH
ET0010634,SOLE BRANCH
ET0010495,SOLODA BRANCH
ET0010798,SOROKA BRANCH
ET0010483,SOYAMA BRANCH
ET0010790,SULTAN ALIMIRAH BRANCH
ET0010225,SULULTA BRANCH
ET0010453,SUMEYA BRANCH
ET0010115,SUMMIT BRANCH
ET0010256,SUMMIT CONDOMINIUM BR
ET0010709,SUMMIT MESKELEGNA BR
ET0010915,SUMUDA BRANCH
ET0010528,Shebele Branch
ET0010871,Shimbit Branch
ET0010063,TABOR BRANCH
ET0010794,TACH GAYINT BRANCH
ET0010527,TAIWAN GEBEYA BRANCH
ET0010090,TANA BRANCH
ET0010859,TARCHA BRANCH
ET0010427,TEBASE BRANCH
ET0010808,TEDA BRANCH
ET0010965,TEKALIGN GEDAMU BRANCH
ET0010359,TEKLE HAIMANOT BR
ET0010197,TELE MEDHANEALEM BR
ET0010324,TEMBIEN BRANCH
ET0010034,TEMENJA YAJ BRANCH
ET0010036,TEPPI BRANCH
ET0010860,TERFAM BRANCH
ET0010330,TERO BRANCH
ET0010627,TESFAYE GESESSE BRANCH
ET0010437,TEWHID SUB-BRANCH
ET0010011,TEWODROS BRANCH
ET0010310,TEWODROS SQUARE BRANCH
ET0010194,TILILI BRANCH
ET0010203,TIS ABAY BRANCH
ET0010643,TIYO BRANCH
ET0010121,TOBIA BRANCH
ET0010067,TOGOCHALI BRANCH
ET0010918,TOR HAYLOCH BRANCH
ET0010776,TORA BRANCH
ET0010151,TORHAYLOCH TOTAL
ET0010138,TOSSA BRANCH
ET0010937,TROPICAL BRANCH
ET0010486,TSEHAY MEWCHA BRANCH
ET0010821,TULU AWLIA BRANCH
ET0010737,TULU BEREK BRANCH
ET0010481,TULU BOLO BRANCH
ET0010291,TULU DIMTU BRANCH
ET0010615,TULU DIMTU CONDOMIN BR
ET0010197,Tele Medhanialem Branch
ET0010010,URAEL BRANCH
ET0010842,URAGA BRANCH
ET0010050,USEMBASSY BRANCH
ET0010622,WAD BRANCH
ET0010910,WAGSHUM BRANCH
ET0010981,WAJA TUMUGA BRANCH
ET0010411,WEGDI BRANCH
ET0010474,WEGELTENA BRANCH
ET0010668,WEJEL BRANCH
ET0010062,WELAYTA SODDO BRANCH
ET0010062,WELAYTA SODO BRANCH
ET0010079,WELETE BRANCH
ET0010321,WELWALLO BRANCH
ET0010321,WELWALO BRANCH
ET0010180,WERETA BRANCH
ET0010920,WERKA BRANCH
ET0010293,WESERBI BRANCH
ET0010662,WETET ABAY BRANCH
ET0010307,WLEDEMESKEL KOSTRE BR
ET0010368,WOCHECHA BRANCH
ET0010759,WOGEDAD BRANCH
ET0010822,WOIN AMBA BRANCH
ET0010968,WOIZERO SIHEEN BRANCH
ET0010273,WOJI MEDHANEALEM BR
ET0010096,WOLDIYA BRANCH
ET0010906,WOLEDI BRANCH
ET0010264,WOLISO BRANCH
ET0010070,WOLLKITE BRANCH
ET0010320,WOLLO BAHIL AMBA
ET0010320,WOLLO BAHIL AMBA BR
ET0010117,WOLLO SEFER BRANCH
ET0010973,WONJI BRANCH
ET0010654,WOREILU BRANCH
ET0010793,WORER BRANCH
ET0010807,WORKU SEFER BRANCH
ET0010928,WOSSEN BRANCH
ET0010576,WOUBSHET WORKALEMAHU B
ET0010704,WOYIN WUHA BRANCH
ET0010410,WUCHALE BRANCH
ET0010088,WUHALEMAT BRANCH
ET0010158,WUKRO BRANCH
ET0010952,WUKRO MARAY BRANCH
ET0010707,WURGESSA BRANCH
ET0010304,YABELLO BRANCH
ET0010912,YAYO BRANCH
ET0010993,YEGOF BRANCH
ET0010508,YEJOKA BRANCH
ET0010660,YEJUBE BRANCH
ET0010244,YEKA ABADO BRANCH
ET0010128,YEKA BRANCH
ET0010569,YEKA TERARA BRANCH
ET0010118,YERER BER BRANCH
ET0010878,YERI SUB BRANCH
ET0010292,YESHI DEBELE BRANCH
ET0010275,YIDNEKACHEW TESSEMA BR
ET0010899,YIFAG BRANCH
ET0010655,YIFAT BRANCH
ET0010638,YILMA DERESSA BRANCH
ET0010221,YIRGA CHEFFE BRANCH
ET0010228,YIRGALEM BRANCH
ET0010881,YISMA NIGUS BRANCH
ET0010202,YOFTAHIE NIGUSSIE BR
ET0010540,ZEBIDAR BRANCH
ET0010591,ZENBABA BRANCH
ET0010602,ZENEBEWORK BRANCH
ET0010618,ZENGENA BRANCH
ET0010175,ZEQUALA BRANCH
ET0010018,ZERA'A YAKOB BRANCH
ET0010393,ZERAY DERES BRANCH
ET0010874,ZEWOLD BRANCH
ET0010623,ZIGEM BRANCH
ET0010797,ZOBLE BRANCH
ET0010733,ZUMBARA BRANCH
ET0010507,kenenisa Bekele Branch
